Angle,IntersectionArea_Pixels²
6.11,589.2454449642396
6.12,588.7074307153184
6.13,588.174869545402
6.14,587.6477586068468
6.15,587.126095045748
6.16,586.6099917618893
6.17,586.0991651290043
6.18,585.5934945427985
6.19,585.0928479371345
6.2,584.5972137558249
6.21,584.1065961859096
6.22,583.6211842296154
6.23,583.1406847471361
6.24,582.6650296563583
6.25,582.1942161211128
6.26,581.7282412984532
6.27,581.267108874149
6.28,580.8108611928744
6.29,580.3593678764755
6.3,579.9126251494872
6.31,579.4706299178386
6.32,579.033407468367
6.33,578.6010217506068
6.34,578.1734529875724
6.35,577.7508588171296
6.36,577.3329134213957
6.37,576.919481050306
6.38,576.5105497957146
6.39,576.1059124258849
6.4,575.7055117866726
6.41,575.3095497819777
6.42,574.9180474905583
6.43,574.5311968883996
6.44,574.1503965266254
6.45,573.7759269470872
6.46,573.4078119338909
6.47,573.0461210966514
6.48,572.6911773540612
6.49,572.3433458754919
6.5,572.0024525285168
6.51,571.6684910847049
6.52,571.3414604005156
6.53,571.0213593282108
6.54,570.7081405881553
6.55,570.4017739206624
6.56,570.1026218548062
6.57,569.8107917691627
6.58,569.5262827571419
6.59,569.2490365122777
6.6,568.978732272964
6.61,568.7153219221548
6.62,568.4589657036986
6.63,568.2097629766763
6.64,567.9678387744115
6.65,567.7331562326356
6.66,567.5057414076709
6.67,567.2855957239707
6.68,567.0727184538426
6.69,566.8671195409141
6.7,566.6687472341339
6.71,566.4774870791512
6.72,566.2933383874911
6.73,566.115751060245
6.74,565.9435815542191
6.75,565.7766807274676
6.76,565.6147788060281
6.77,565.457961035213
6.78,565.3061869089801
6.79,565.1591124770764
6.8,565.016703649042
6.81,564.8786576005019
6.82,564.7448453982795
6.83,564.6152671963537
6.84,564.4899231439869
6.85,564.3687814042487
6.86,564.2515363726861
6.87,564.1379624020121
6.88,564.028068915607
6.89,563.9219560635249
6.9,563.8196474514159
6.91,563.7211434507177
6.92,563.6263035931862
6.93,563.5348604124171
6.94,563.4468003577334
6.95,563.3619846508304
6.96,563.2804783173503
6.97,563.2023182982128
6.98,563.1273711357657
6.99,563.0553833305805
7.0,562.9863493005183
7.01,562.9202699546433
7.02,562.8572169224473
7.03,562.7972425474611
7.04,562.7402823218268
7.05,562.6860808422789
7.06,562.63458580766
7.07,562.5857846911647
7.08,562.5396781127475
7.09,562.4962666871891
7.1,562.4555492613282
7.11,562.4173231434471
7.12,562.3814500163662
7.13,562.347930498912
7.14,562.3167652047673
7.15,562.2879992032953
7.16,562.2617482179849
7.17,562.2379771258343
7.18,562.2163515919361
7.19,562.1967882836645
7.2,562.1792878808195
7.21,562.1638510578633
7.22,562.15047848403
7.23,562.1391708126762
7.24,562.1299155941751
7.25,562.1225131209991
7.26,562.1169350642011
7.27,562.1132386551513
7.28,562.1114245392134
7.29,562.1114933564024
7.3,562.113399108952
7.31,562.1170563433055
7.32,562.1223833894933
7.33,562.1292026687684
7.34,562.137501458011
7.35,562.1472794675627
7.36,562.1585373510972
7.37,562.1713074638909
7.38,562.1856568699413
7.39,562.2015883050992
7.4,562.2189914023213
7.41,562.2377400587683
7.42,562.257833095712
7.43,562.279241598553
7.44,562.3019498630531
7.45,562.3259578764946
7.46,562.3512662539164
7.47,562.3778756048034
7.48,562.405726575732
7.49,562.4347151353031
7.5,562.4648798608802
7.51,562.4962247853084
7.52,562.5287584943746
7.53,562.5624813005803
7.54,562.597387638099
7.55,562.6334764480214
7.56,562.6707472623073
7.57,562.7090876882177
7.58,562.748421745213
7.59,562.7887499741992
7.6,562.8300750524796
7.61,562.872416296075
7.62,562.9158307928448
7.63,562.9603266267148
7.64,563.0059004631354
7.65,563.0525483348387
7.66,563.100186111382
7.67,563.1487297529015
7.68,563.198179742157
7.69,563.248536576051
7.7,563.2998059620519
7.71,563.3519924383277
7.72,563.4050964610523
7.73,563.459118480591
7.74,563.5140646899666
7.75,563.569964379496
7.76,563.6267152616957
7.77,563.6842918621039
7.78,563.7426945977855
7.79,563.8019239742899
7.8,563.8619859326342
7.81,563.9228841016951
7.82,563.9846188719129
7.83,564.0471906278134
7.84,564.1105996616288
7.85,564.1748343744225
7.86,564.2397979126262
7.87,564.3054592270199
7.88,564.3718317582619
7.89,564.438954636328
7.9,564.5068352598433
7.91,564.575478204302
7.92,564.6448837922727
7.93,564.7150523403388
7.94,564.7859841591131
7.95,564.857674535079
7.96,564.9300931095881
7.97,565.0031569952835
7.98,565.0768599971806
7.99,565.151202387007
8.0,565.2261873009433
